ingredients,url
"vanilla extract,cocoa powder,vegan butter,powdered sugar,maple syrup,sugar,almond milk,baking powder,all-purpose flour,salt,coconut oil",https://tasty.co/recipe/vegan-chocolate-cake
"granola,greek yogurt,oil,ripe peaches,mint leaf,honey",https://tasty.co/recipe/grilled-peach-parfaits
"almond flour,vanilla extract,raw cashew,maple syrup,canned coconut milk,strawberry,lemon juice,raw pe,pitted dates,salt,coconut oil,cinnamon",https://tasty.co/recipe/dairy-free-strawberry-cheesecake
"vanilla extract,chickpea,sugar,strawberry,lemon juice,dark vegan chocolate",https://tasty.co/recipe/dairy-free-meringue
"water,salmon,hickory wood chip,old bay seasoning",https://tasty.co/recipe/smoked-salmon-fillet
"white chocolate,purple food coloring,light blue food coloring,condensed milk,gelatin,sugar,water,yellow cake mix,navy food coloring,vanilla frosting",https://tasty.co/recipe/galaxy-box-cake-pop
"scallion,pepper,chickpea,vegetable broth,potato,ghee,canola oil,cloves garlic,medium white onion,curry powder,parsley",https://tasty.co/recipe/chickpea-and-potato-curry
"eggs,black pepper,smoked ham,spinach,mozzarella cheese,whole milk,salt,bacon",https://tasty.co/recipe/epic-egg-breakfast-roll
"allspice,ginger,medium red onions,cashew,ground cardamom,water,basmati rice,pepper,ground fenugreek,black pepper,vegetable oil,beef broth,carrot,cayenne,green cabbage,cinnamon stick,star anise,curry powder,salt,ground nutmeg,scallions,ground cinnamon,cloves garlic,lamb shoulder,bay leaf,ground clove,ground cumin,paprika,tomato paste,pomegranate seed,ghee",https://tasty.co/recipe/wakandan-jeweled-vegetable-pilau-with-berbere-braised-lamb
"spaghetti,red pepper flake,red wine,parmesan cheese,butter,water,cloves garlic,pine nut,salt",https://tasty.co/recipe/red-wine-pasta
"orange juice,chili flake,sesame oil,ginger,cornstarch,soy sauce,sugar,garlic,egg,flour,oil,white pepper,water,chicken thigh,salt,white distilled vinegar,brown sugar",https://tasty.co/recipe/original-orange-chicken-by-panda-express
"eggs,whole wheat flour,powdered sugar,maple syrup,baking soda,whole greek yogurt,milk,oil,baking powder",https://tasty.co/recipe/whole-wheat-waffle-sticks
"vanilla extract,granny smith apples,ground nutmeg,ground clove,powdered sugar,cornstarch,milk,dark brown sugar,unsalted butter,lemon juice,biscuit dough,cinnamon",https://tasty.co/recipe/apple-fritter-stuffed-pull-apart-bread
"mozzarella cheese,butter,cheddar cheese,cloves garlic,deli ham,salt,pizza dough,parsley",https://tasty.co/recipe/ham-and-garlic-pull-apart-garlic-bread
"white chocolate,vanilla extract,mini marshmallow,cream cheese,graham crackers,powdered sugar,butter,milk chocolate,coconut oil",https://tasty.co/recipe/smores-cheesecake-pops
"medium onion,pepper,stalks celery,cannellini bean,dried oregano,tomato,cloves garlic,vegetable stock,carrots,kale,salt,dried thyme",https://tasty.co/recipe/slow-cooker-tuscan-white-bean-soup
"ghee,baking soda,flour,oil,water,salt",https://tasty.co/recipe/trinidadian-roti
"avocado,eggs,domini frying cheese,plantains,butter,flour,canola oil,vinegar,water,salt,domini salami,red onion",https://tasty.co/recipe/mangu-con-los-tres-golpes
"vanilla extract,eggs,powdered sugar,whole wheat bread,maple syrup,milk,ground cinnamon,salt",https://tasty.co/recipe/whole-wheat-french-toast
